"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"154","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:52:29,FALSE,NA,"1063006818614439936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BCulhhrmE4GugMV",3989,TRUE,FALSE,NA,NA
"155","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:52:22,FALSE,NA,"1063006789086703616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","One_Rob",3989,TRUE,FALSE,NA,NA
"156","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:52:19,FALSE,NA,"1063006776604250112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","restrictedfox",3989,TRUE,FALSE,NA,NA
"157","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:51:34,FALSE,NA,"1063006586241724418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MadAnimat0r",3989,TRUE,FALSE,NA,NA
"158","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:50:45,FALSE,NA,"1063006382050476033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Matti279",3989,TRUE,FALSE,NA,NA
"159","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:50:38,FALSE,NA,"1063006351180349441",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheJaseYANG",3989,TRUE,FALSE,NA,NA
"160","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:50:07,FALSE,NA,"1063006222943768576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OoFunko",3989,TRUE,FALSE,NA,NA
"161","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:49:59,FALSE,NA,"1063006189116637184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mritsunique",3989,TRUE,FALSE,NA,NA
"162","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:49:09,FALSE,NA,"1063005976155090947",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jjc2390",3989,TRUE,FALSE,NA,NA
"163","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:49:00,FALSE,NA,"1063005940239269893",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","warbourton1",3989,TRUE,FALSE,NA,NA
"164","RT @DesignationSix: Here are some @FoxNews sponsors. They are tagged so they will be notified for each LIKE RETWEET or COMMENT.
@KraftHeinz…",FALSE,0,NA,2018-11-15 09:48:51,FALSE,NA,"1063005903119503363",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jimbo1964_p",215,TRUE,FALSE,NA,NA
"165","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:48:40,FALSE,NA,"1063005855577186304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FFXIV_Apeiron",3989,TRUE,FALSE,NA,NA
"166","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:48:37,FALSE,NA,"1063005843719806976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CSWeiner",3989,TRUE,FALSE,NA,NA
"167","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:48:28,FALSE,NA,"1063005806151561216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ryndarwen",3989,TRUE,FALSE,NA,NA
"168","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:47:17,FALSE,NA,"1063005506145529857",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","kvath072",3989,TRUE,FALSE,NA,NA
"169","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:47:00,FALSE,NA,"1063005438491418626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cesar__pineiro",3989,TRUE,FALSE,NA,NA
"170","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:46:55,FALSE,NA,"1063005416001585152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bogaiwon",3989,TRUE,FALSE,NA,NA
"171","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:46:45,FALSE,NA,"1063005374679339008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xXLadyGothicaXx",3989,TRUE,FALSE,NA,NA
"172","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:46:30,FALSE,NA,"1063005309025898497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jackdoy31961818",3989,TRUE,FALSE,NA,NA
"173","@OriginalFunko @Walmart Nooooo there’s no Walmart in the UK. https://t.co/LygZr9ww0P",FALSE,0,"OriginalFunko",2018-11-15 09:46:25,FALSE,"1062933718329970688","1063005291451686912","1378000488","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HighStealthboy",0,FALSE,FALSE,NA,NA
"174","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:46:16,FALSE,NA,"1063005251853262848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jhubbar80383014",3989,TRUE,FALSE,NA,NA
"175","So @Walmart I think it’s ridiculous that you have 25 registers and not a single one is open after 9pm. It’s all sel… https://t.co/rhq9V3CAzF",FALSE,0,NA,2018-11-15 09:46:12,TRUE,NA,"1063005233935089665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boxey13",0,FALSE,FALSE,NA,NA
"176","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:46:06,FALSE,NA,"1063005212099702784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TEOHABBOCOM",3989,TRUE,FALSE,NA,NA
"177","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:45:55,FALSE,NA,"1063005164905398273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Todd80851755",3989,TRUE,FALSE,NA,NA
"178","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:45:39,FALSE,NA,"1063005095732920320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spives75",3989,TRUE,FALSE,NA,NA
"179","RT @DesignationSix: Here are some @FoxNews sponsors. They are tagged so they will be notified for each LIKE RETWEET or COMMENT.
@KraftHeinz…",FALSE,0,NA,2018-11-15 09:45:34,FALSE,NA,"1063005074346176512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sherisennhauser",215,TRUE,FALSE,NA,NA
"180","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:45:20,FALSE,NA,"1063005015634309120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nmahieu22",3989,TRUE,FALSE,NA,NA
"181","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:45:14,FALSE,NA,"1063004993324761088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","steviec412",3989,TRUE,FALSE,NA,NA
"182","In requiring its green vegetable suppliers to use #blockchain by 2019, @Walmart seeks more #transparency in the foo… https://t.co/L4yRC0pO5i",FALSE,1,NA,2018-11-15 09:45:06,TRUE,NA,"1063004959443161090",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","255hec",0,FALSE,FALSE,NA,NA
"183","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:44:56,FALSE,NA,"1063004917365948416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tinysky23_",3989,TRUE,FALSE,NA,NA
"184","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:44:55,FALSE,NA,"1063004913712750593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marinejk3",3989,TRUE,FALSE,NA,NA
"185","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:44:40,FALSE,NA,"1063004850730995712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elleffsee",3989,TRUE,FALSE,NA,NA
"186","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:44:26,FALSE,NA,"1063004792904138752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","skyeon_e",3989,TRUE,FALSE,NA,NA
"187","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:44:23,FALSE,NA,"1063004777502687232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OfficialThiano",3989,TRUE,FALSE,NA,NA
"188","RT @OriginalFunko: RT &amp; follow @OriginalFunko for the chance to win a @Walmart exclusive T-51 Power Armor Pop! #Fallout https://t.co/WSOgqB…",FALSE,0,NA,2018-11-15 09:44:08,FALSE,NA,"1063004714432786432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ktruon22",3989,TRUE,FALSE,NA,NA
